TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,2025-01-09,1020,2023,401,0.0,643.02,10,Credit Card
2,2024-07-10,1034,2091,404,2.0,529.24,5,Debit Card
3,2025-03-22,1087,2035,403,3.0,4313.72,15,Paypal
4,2024-12-27,1186,2015,404,,1275.85,0,Cash
5,2025-04-21,1049,2005,402,0.0,1739.64,20,Bank Transfer
6,2024-10-30,1093,2054,402,0.0,1270.12,10,Credit Card
7,2025-02-20,1005,2097,402,0.0,644.45,25,Debit Card
8,2024-10-05,1054,2072,403,3.0,1833.37,5,Paypal
9,2024-11-22,1063,2068,403,3.0,828.83,15,Cash
10,2024-08-30,1130,2096,401,1.0,1594.55,0,Bank Transfer
11,2024-11-11,1005,2059,403,0.0,273.38,10,Credit Card
12,2025-04-21,1196,2014,403,3.0,0.0,5,Debit Card
13,2025-02-16,1128,2064,401,2.0,1039.94,15,Paypal
14,2024-08-22,1041,2099,401,3.0,1861.74,0,Cash
15,2025-04-19,1078,2035,401,3.0,4900.93,20,Bank Transfer
16,2024-12-11,1032,2021,403,3.0,1861.38,10,Credit Card
17,2025-03-02,1182,2040,404,3.0,41.46,25,Debit Card
18,2024-10-14,1058,2000,401,0.0,1815.57,5,Paypal
19,2025-04-12,1071,2091,402,3.0,2628.38,15,Cash
20,2024-11-07,1005,2052,404,0.0,1969.12,0,Bank Transfer
21,2024-07-12,1086,2013,402,3.0,1325.7,10,Credit Card
22,2024-11-22,1019,2070,401,,127.04,5,Debit Card
23,2025-05-21,1060,2091,404,3.0,1240.87,20,Paypal
24,2024-06-01,1116,2097,404,2.0,763.17,15,Cash
25,2025-02-22,1089,2039,404,1.0,2785.23,25,Bank Transfer
26,2025-04-09,1066,2030,404,1.0,127.5,10,Credit Card
27,2024-07-05,1144,2033,402,2.0,821.78,0,Debit Card
28,2025-01-24,1080,2009,401,0.0,39.84,15,Paypal
29,2024-09-17,1017,2047,403,2.0,1975.1,5,Cash
30,2025-01-16,1020,2013,402,0.0,1199.52,20,Bank Transfer
31,2024-09-23,1089,2041,404,0.0,2406.09,10,Credit Card
32,2024-09-21,1116,2033,402,3.0,268.15,15,Debit Card
33,2025-05-13,1038,2047,402,0.0,1803.01,5,Paypal
34,2025-03-19,1091,2035,401,3.0,3872.65,0,Cash
35,2025-05-06,1116,2022,404,,697.76,20,Bank Transfer
36,2025-05-08,1188,2034,402,0.0,125.51,25,Credit Card
37,2024-11-25,1032,2029,402,,55.96,10,Debit Card
38,2025-04-13,1071,2065,404,2.0,274.92,5,Paypal
39,2025-05-22,1020,2039,404,2.0,4929.06,15,Cash
40,2024-07-19,1048,2079,401,1.0,814.88,0,Bank Transfer
41,2025-01-21,1080,2015,403,3.0,1409.56,10,Credit Card
42,2024-12-15,1005,2022,403,0.0,459.86,5,Debit Card
43,2025-03-15,1082,2056,402,1.0,603.38,20,Paypal
44,2025-01-21,1023,2096,402,1.0,337.34,15,Cash
45,2024-06-21,1156,2009,404,1.0,63.76,25,Bank Transfer
46,2024-11-05,1034,2098,401,1.0,1918.03,10,Credit Card
47,2024-12-07,1071,2015,404,3.0,1976.39,0,Debit Card
48,2024-12-26,1113,2092,404,3.0,1500.13,15,Paypal
49,2024-11-26,1063,2035,404,2.0,3710.95,5,Cash
50,2024-09-05,1138,2023,402,1.0,789.03,20,Bank Transfer
51,2024-11-07,1106,2079,404,0.0,3945.18,10,Credit Card
52,2024-10-30,1089,2079,404,1.0,1728.21,15,Debit Card
53,2024-11-29,1171,2051,402,1.0,1091.54,5,Paypal
54,2025-04-29,1169,2079,402,1.0,2205.97,0,Cash
55,2024-08-27,1194,2035,404,0.0,3870.61,20,Bank Transfer
56,2024-06-22,1057,2099,401,1.0,89.74,25,Credit Card
57,2024-08-03,1066,2027,404,2.0,1234.13,10,Debit Card
58,2025-02-28,1116,2013,401,3.0,3717.57,5,Paypal
59,2024-07-03,1160,2041,401,0.0,2427.7,15,Cash
60,2024-10-26,1087,2079,404,2.0,4229.18,0,Bank Transfer
61,2025-02-09,1187,2083,403,3.0,1660.18,10,Credit Card
62,2024-12-25,1062,2011,403,1.0,1161.21,5,Debit Card
63,2025-01-23,1126,2023,404,2.0,4461.44,20,Paypal
64,2025-02-07,1002,2024,401,3.0,1528.42,15,Cash
65,2025-02-02,1125,2002,401,3.0,647.1,25,Bank Transfer
66,2024-12-21,1135,2070,403,3.0,45.2,10,Credit Card
67,2024-07-20,1066,2097,402,3.0,3153.14,0,Debit Card
68,2025-03-05,1025,2037,402,2.0,1091.56,15,Paypal
69,2024-09-20,1141,2023,404,0.0,2612.29,5,Cash
70,2024-11-16,1034,2091,401,3.0,3096.6,20,Bank Transfer
71,2025-01-31,1020,2035,401,3.0,4058.33,10,Credit Card
72,2024-09-01,1115,2038,404,0.0,1493.17,15,Debit Card
73,2025-05-14,1071,2019,402,0.0,2338.33,5,Paypal
74,2025-02-01,1008,2041,404,,1690.5,0,Cash
75,2025-03-16,1050,2069,402,2.0,189.25,20,Bank Transfer
76,2024-08-09,1191,2036,404,2.0,1888.22,25,Credit Card
77,2024-12-03,1020,2055,403,0.0,1925.73,10,Debit Card
78,2025-04-03,1005,2086,403,1.0,1320.44,5,Paypal
79,2025-05-02,1005,2062,401,3.0,1356.76,15,Cash
80,2025-04-11,1177,2084,404,0.0,663.31,0,Bank Transfer
81,2024-10-09,1103,2000,404,1.0,1264.14,10,Credit Card
82,2024-12-02,1013,2097,402,3.0,2681.2,5,Debit Card
83,2024-06-13,1061,2039,401,0.0,4286.33,20,Paypal
