TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,1/9/2025,1020,2023,401,0,643.02,10,Credit Card
2,7/10/2024,1034,2091,404,2,529.24,5,Debit Card
3,3/22/2025,1087,2035,403,3,4313.72,15,PayPal
4,12/27/2024,1186,2015,404,,1275.85,0,Cash
5,4/21/2025,1049,2005,402,0,1739.64,20,Bank Transfer
6,10/30/2024,1093,2054,402,0,1270.12,10,Credit Card
7,2/20/2025,1005,2097,402,0,644.45,25,Debit Card
8,10/5/2024,1054,2072,403,3,1833.37,5,PayPal
9,11/22/2024,1063,2068,403,3,828.83,15,Cash
10,8/30/2024,1130,2096,401,1,1594.55,0,Bank Transfer
11,11/11/2024,1005,2059,403,0,273.38,10,Credit Card
12,4/21/2025,1196,2014,403,3,0,5,Debit Card
13,2/16/2025,1128,2064,401,2,1039.94,15,PayPal
14,8/22/2024,1041,2099,401,3,1861.74,0,Cash
15,4/19/2025,1078,2035,401,3,4900.93,20,Bank Transfer
16,12/11/2024,1032,2021,403,3,1861.38,10,Credit Card
17,3/2/2025,1182,2040,404,3,41.46,25,Debit Card
18,10/14/2024,1058,2000,401,0,1815.57,5,PayPal
19,4/12/2025,1071,2091,402,3,2628.38,15,Cash
20,11/7/2024,1005,2052,404,0,1969.12,0,Bank Transfer
21,7/12/2024,1086,2013,402,3,1325.7,10,Credit Card
22,11/22/2024,1019,2070,401,,127.04,5,Debit Card
23,5/21/2025,1060,2091,404,3,1240.87,20,PayPal
24,6/1/2024,1116,2097,404,2,763.17,15,Cash
25,2/22/2025,1089,2039,404,1,2785.23,25,Bank Transfer
26,4/9/2025,1066,2030,404,1,127.5,10,Credit Card
27,7/5/2024,1144,2033,402,2,821.78,0,Debit Card
28,1/24/2025,1080,2009,401,0,39.84,15,PayPal
29,9/17/2024,1017,2047,403,2,1975.1,5,Cash
30,1/16/2025,1020,2013,402,0,1199.52,20,Bank Transfer
31,9/23/2024,1089,2041,404,0,2406.09,10,Credit Card
32,9/21/2024,1116,2033,402,3,268.15,15,Debit Card
33,5/13/2025,1038,2047,402,0,1803.01,5,PayPal
34,3/19/2025,1091,2035,401,3,3872.65,0,Cash
35,5/6/2025,1116,2022,404,,697.76,20,Bank Transfer
36,5/8/2025,1188,2034,402,0,125.51,25,Credit Card
37,11/25/2024,1032,2029,402,,55.96,10,Debit Card
38,4/13/2025,1071,2065,404,2,274.92,5,PayPal
39,5/22/2025,1020,2039,404,2,4929.06,15,Cash
40,7/19/2024,1048,2079,401,1,814.88,0,Bank Transfer
41,1/21/2025,1080,2015,403,3,1409.56,10,Credit Card
42,12/15/2024,1005,2022,403,0,459.86,5,Debit Card
43,3/15/2025,1082,2056,402,1,603.38,20,PayPal
44,1/21/2025,1023,2096,402,1,337.34,15,Cash
45,6/21/2024,1156,2009,404,1,63.76,25,Bank Transfer
46,11/5/2024,1034,2098,401,1,1918.03,10,Credit Card
47,12/7/2024,1071,2015,404,3,1976.39,0,Debit Card
48,12/26/2024,1113,2092,404,3,1500.13,15,PayPal
49,11/26/2024,1063,2035,404,2,3710.95,5,Cash
50,9/5/2024,1138,2023,402,1,789.03,20,Bank Transfer
51,11/7/2024,1106,2079,404,0,3945.18,10,Credit Card
52,10/30/2024,1089,2079,404,1,1728.21,15,Debit Card
53,11/29/2024,1171,2051,402,1,1091.54,5,PayPal
54,4/29/2025,1169,2079,402,1,2205.97,0,Cash
55,8/27/2024,1194,2035,404,0,3870.61,20,Bank Transfer
56,6/22/2024,1057,2099,401,1,89.74,25,Credit Card
57,8/3/2024,1066,2027,404,2,1234.13,10,Debit Card
58,2/28/2025,1116,2013,401,3,3717.57,5,PayPal
59,7/3/2024,1160,2041,401,0,2427.7,15,Cash
60,10/26/2024,1087,2079,404,2,4229.18,0,Bank Transfer
61,2/9/2025,1187,2083,403,3,1660.18,10,Credit Card
62,12/25/2024,1062,2011,403,1,1161.21,5,Debit Card
63,1/23/2025,1126,2023,404,2,4461.44,20,PayPal
64,2/7/2025,1002,2024,401,3,1528.42,15,Cash
65,2/2/2025,1125,2002,401,3,647.1,25,Bank Transfer
66,12/21/2024,1135,2070,403,3,45.2,10,Credit Card
67,7/20/2024,1066,2097,402,3,3153.14,0,Debit Card
68,3/5/2025,1025,2037,402,2,1091.56,15,PayPal
69,9/20/2024,1141,2023,404,0,2612.29,5,Cash
70,11/16/2024,1034,2091,401,3,3096.6,20,Bank Transfer
71,1/31/2025,1020,2035,401,3,4058.33,10,Credit Card
72,9/1/2024,1115,2038,404,0,1493.17,15,Debit Card
